Actual,Target
0.996094,0.000000
0.996094,0.001953
0.000000,0.003906
0.500000,0.005859
0.500000,0.007812
0.750000,0.009766
0.800000,0.011719
0.800000,0.013672
0.857143,0.015625
0.875000,0.017578
0.875000,0.019531
0.900000,0.021484
0.900000,0.023438
0.916667,0.025391
0.923077,0.027344
0.923077,0.029297
0.933333,0.031250
0.937500,0.033203
0.937500,0.035156
0.944444,0.037109
0.947368,0.039062
0.947368,0.041016
0.952381,0.042969
0.954545,0.044922
0.954545,0.046875
0.958333,0.048828
0.958333,0.050781
0.961538,0.052734
0.962963,0.054688
0.962963,0.056641
0.965517,0.058594
0.966667,0.060547
0.966667,0.062500
0.968750,0.064453
0.969697,0.066406
0.969697,0.068359
0.971429,0.070312
0.971429,0.072266
0.972973,0.074219
0.973684,0.076172
0.973684,0.078125
0.975000,0.080078
0.975610,0.082031
0.975610,0.083984
0.976744,0.085938
0.977273,0.087891
0.977273,0.089844
0.978261,0.091797
0.978261,0.093750
0.979167,0.095703
0.979592,0.097656
0.979592,0.099609
0.980392,0.101562
0.980769,0.103516
0.980769,0.105469
0.981481,0.107422
0.981818,0.109375
0.981818,0.111328
0.982456,0.113281
0.982759,0.115234
0.982759,0.117188
0.983333,0.119141
0.983333,0.121094
0.983871,0.123047
0.984127,0.125000
0.984127,0.126953
0.984615,0.128906
0.984848,0.130859
0.984848,0.132812
0.985294,0.134766
0.985507,0.136719
0.985507,0.138672
0.985915,0.140625
0.985915,0.142578
0.986301,0.144531
0.986486,0.146484
0.986486,0.148438
0.986842,0.150391
0.987013,0.152344
0.987013,0.154297
0.987342,0.156250
0.987500,0.158203
0.987500,0.160156
0.987805,0.162109
0.987805,0.164062
0.988095,0.166016
0.988235,0.167969
0.988235,0.169922
0.988506,0.171875
0.988636,0.173828
0.988636,0.175781
0.988889,0.177734
0.989011,0.179688
0.989011,0.181641
0.989247,0.183594
0.989362,0.185547
0.989362,0.187500
0.989583,0.189453
0.989583,0.191406
0.989796,0.193359
0.989899,0.195312
0.989899,0.197266
0.990099,0.199219
0.990196,0.201172
0.990196,0.203125
0.990385,0.205078
0.990476,0.207031
0.990476,0.208984
0.990654,0.210938
0.990654,0.212891
0.990826,0.214844
0.990909,0.216797
0.990909,0.218750
0.991071,0.220703
0.991150,0.222656
0.991150,0.224609
0.991304,0.226562
0.991379,0.228516
0.991379,0.230469
0.991525,0.232422
0.991525,0.234375
0.991667,0.236328
0.991736,0.238281
0.991736,0.240234
